Customer_ID,Customer_Name,Phone_Number,Email,Policy_Start_Date,Policy_End_Date,Renewal_Status
1047,Ellen Tucker,+1-462-317-9333x85458,dterry@example.com,2024-05-26,2025-05-26,Expired
1121,Darrell Randolph,864-242-5736x63822,steven46@example.com,2024-03-03,2026-03-03,Renewed
1136,Tammy Lopez,001-639-212-8827x723,megangraves@example.com,2025-01-23,2025-07-22,Expired
1153,Shari Wilson,(544)289-8868,gdavis@example.org,2023-11-11,2024-11-10,Expired
1125,Mary Roberts,+1-346-872-1871,ashleyguerrero@example.org,2023-12-14,2025-12-13,Renewed
1031,Katherine Delgado,960.437.2276x765,matthew11@example.net,2024-06-14,2024-12-11,Expired
1007,Christopher Silva,001-691-317-7173x389,pkey@example.net,2025-01-11,2026-01-11,Renewed
1101,Calvin Howard,6216070206,monica79@example.net,2025-02-04,2025-08-03,Pending
1010,Ashley Webster,(953)696-0141x2388,michelle84@example.net,2024-08-19,2025-02-15,Expired
1021,Richard Lopez,948.503.6052x07992,thomas44@example.net,2024-06-30,2026-06-30,Renewed
1160,Pamela Sanchez,705-531-1442,russell76@example.org,2024-11-24,2025-11-24,Renewed
1172,Derek Bradley,(862)852-0276x6693,stevenskyle@example.com,2025-06-07,2025-12-04,Renewed
1140,Matthew Wright,+1-265-703-8869x31751,thomaszachary@example.net,2025-02-26,2025-08-25,Pending
1056,Stacey Campbell,805.659.6558x2682,csimpson@example.net,2025-06-25,2025-12-22,Renewed
1118,Steven Fritz,(232)967-7602x4054,david95@example.net,2024-02-01,2026-01-31,Renewed
1046,George Fields,298.262.9067x609,hernandezamy@example.org,2025-01-21,2027-01-21,Renewed
1184,Beth Baker,001-343-752-7563x33022,angela44@example.net,2023-09-09,2025-09-08,Renewed
1004,Brooke Harris,295.537.6441x8754,lisachristensen@example.org,2024-12-25,2025-12-25,Renewed
1027,Donald Brown,001-956-492-8007x12842,blanchardmichael@example.org,2025-01-21,2026-01-21,Renewed
1005,Lawrence Benson,294-817-1890x7696,ericastewart@example.net,2024-05-08,2025-05-08,Expired
1116,Terri Shaw,6483172339,brandonkoch@example.net,2024-01-29,2024-07-27,Expired
1071,Holly Taylor,803-621-2034x0739,matthew29@example.org,2024-12-28,2025-12-28,Renewed
1119,Brett Gross,938-689-6702x900,bobby59@example.com,2025-03-17,2026-03-17,Renewed
1042,Kenneth Hill,(657)305-7027,destinyyoung@example.org,2023-12-27,2025-12-26,Renewed
1034,Anthony Johnson,+1-982-965-5413x86293,nicoleenglish@example.com,2023-12-12,2025-12-11,Renewed
1169,Stacey Jones,433-726-2173x181,vfox@example.com,2024-02-01,2024-07-30,Expired
1017,Johnny Marquez,001-456-417-0725x317,billy65@example.net,2025-05-28,2027-05-28,Renewed
1088,Lisa Garrison,+1-873-463-9941x1548,wrodgers@example.com,2024-12-16,2026-12-16,Renewed
1180,Amanda Brock,(714)701-4898x305,alexanderjames@example.com,2024-05-14,2026-05-14,Renewed
1109,Jason Ruiz,606-939-4477x108,nicholaswalsh@example.net,2025-07-29,2027-07-29,Renewed
1053,Laura Edwards,001-536-320-7645x06715,rmartinez@example.org,2023-12-24,2024-06-21,Expired
1081,Michelle Stephens,001-767-623-3982x53439,sherry92@example.com,2025-05-03,2026-05-03,Renewed
